,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
344,Lost River,95.0,"Drama,Fantasy,Mystery",5.8,15667,2000000,45431,2009644,9644,0.004822,Dark
347,The Family,111.0,"Comedy,Crime,Thriller",6.3,102576,30000000,36918811,51078541,21078541,0.7026180333333333,Dark
348,Furious 7,137.0,"Action,Crime,Thriller",7.2,335074,190000000,353007020,1518722794,1328722794,6.9932778631578945,Dark
350,Ferdinand,108.0,"Adventure,Animation,Comedy",6.7,40229,111000000,84410380,289847930,178847930,1.6112426126126127,Light
352,The Girl on the Train,112.0,"Crime,Drama,Mystery",6.5,150977,45000000,75395035,174278214,129278214,2.8728492,Dark
359,Serenity,106.0,"Drama,Mystery,Sci-Fi",5.3,17904,39000000,25514517,40319440,1319440,0.03383179487179487,Dark
361,Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355,130000000,149260504,554987477,424987477,3.2691344384615384,Light
367,The Debt,113.0,"Drama,Thriller",6.9,61046,20000000,31177548,46604054,26604054,1.3302027,Dark
369,The Last Exorcism,87.0,"Drama,Horror,Thriller",5.6,45815,1800000,41034350,70165900,68365900,37.98105555555556,Dark
370,Wolves,91.0,"Action,Fantasy,Horror",5.3,7312,18000000,0,94953,-17905047,-0.9947248333333333,Dark
373,The Devil Inside,83.0,Horror,4.2,33522,1000000,53262945,101759490,100759490,100.75949,Dark
379,Deadfall,95.0,"Crime,Drama,Thriller",6.3,36491,6000000,66351,1673635,-4326365,-0.7210608333333334,Dark
381,Triple 9,115.0,"Crime,Thriller",6.3,60369,20000000,12639297,25943792,5943792,0.2971896,Dark
382,Before I Go to Sleep,92.0,"Drama,Horror,Mystery",6.3,64684,22000000,3242457,19563579,-2436421,-0.11074640909090909,Dark
384,Piranha 3D,88.0,"Comedy,Horror",5.4,81327,24000000,25003155,83660160,59660160,2.48584,Dark
387,Goosebumps,103.0,"Adventure,Comedy,Family",6.3,72858,58000000,80069458,158905324,100905324,1.7397469655172413,Light
394,Gulliver's Travels,85.0,"Adventure,Comedy,Family",4.9,61178,112000000,42779261,232017848,120017848,1.0715879285714285,Light
397,The American,105.0,"Crime,Drama,Thriller",6.3,86863,20000000,35606376,67950723,47950723,2.39753615,Dark
398,Martha Marcy May Marlene,102.0,"Drama,Mystery,Thriller",6.9,45873,1000000,2981038,5438911,4438911,4.438911,Dark
401,Hobo with a Shotgun,86.0,"Action,Comedy,Horror",6.1,41633,3000000,703372,834953,-2165047,-0.7216823333333333,Dark
402,The Boy,97.0,"Horror,Mystery,Thriller",6.0,68957,10000000,35819556,68220952,58220952,5.8220952,Dark
403,Miss Sloane,132.0,"Drama,Thriller",7.5,52788,18000000,3500605,7719630,-10280370,-0.5711316666666667,Dark
405,The Emoji Movie,86.0,"Adventure,Animation,Comedy",3.2,47294,50000000,86089513,216562312,166562312,3.33124624,Light
407,Real Steel,127.0,"Action,Drama,Family",7.1,283534,110000000,85463309,263880341,153880341,1.398912190909091,Light
408,Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,16086,15000000,26167002,27469621,12469621,0.8313080666666667,Light
411,Epic,102.0,"Adventure,Animation,Family",6.7,95318,100000000,107518682,262794441,162794441,1.62794441,Light
412,Red State,88.0,"Action,Crime,Horror",6.2,59266,4000000,1065429,1983596,-2016404,-0.504101,Dark
413,Hugo,126.0,"Adventure,Drama,Family",7.5,284869,180000000,73864507,180047784,47784,0.00026546666666666665,Light
415,Frankenweenie,87.0,"Animation,Comedy,Family",7.0,89489,39000000,35287788,81150788,42150788,1.080789435897436,Light
420,Frozen,102.0,"Adventure,Animation,Comedy",7.5,516998,150000000,400738009,1272469910,1122469910,7.483132733333333,Light
422,The Pirates! Band of Misfits,88.0,"Adventure,Animation,Comedy",6.7,41958,55000000,31051126,136143605,81143605,1.4753382727272728,Light
423,Max Steel,92.0,"Action,Adventure,Family",4.6,16788,10000000,3818664,4563080,-5436920,-0.543692,Light
425,The Mortal Instruments: City of Bones,130.0,"Action,Fantasy,Horror",5.9,121936,60000000,31165421,75965567,15965567,0.26609278333333336,Dark
427,Abduction,106.0,"Action,Mystery,Thriller",5.1,72552,35000000,28087155,86648359,51648359,1.4756674,Dark
428,A Good Day to Die Hard,98.0,"Action,Thriller",5.3,188383,92000000,67349198,304249198,212249198,2.3070565,Dark
433,The Calling,108.0,"Drama,Thriller",5.8,7350,2500000,0,0,-2500000,-1.0,Dark
435,Ice Age: Continental Drift,88.0,"Adventure,Animation,Comedy",6.6,175601,95000000,161321843,879765137,784765137,8.26068565263158,Light
436,Grave Encounters,92.0,Horror,6.1,48125,2000000,0,2151887,151887,0.0759435,Dark
440,Apollo 18,86.0,"Horror,Mystery,Sci-Fi",5.2,51427,5000000,17686929,26517819,21517819,4.3035638,Dark
443,Divergent,139.0,"Action,Adventure,Mystery",6.7,399703,85000000,150947895,276014965,191014965,2.247234882352941,Dark
445,Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,170000000,113883318,345004422,175004422,1.0294377764705882,Light
448,The Wall,88.0,"Action,Drama,Thriller",6.2,20391,3000000,1803064,4495262,1495262,0.4984206666666667,Dark
449,The Wall,108.0,"Drama,Fantasy,Mystery",6.8,5484,3000000,1803064,4495262,1495262,0.4984206666666667,Dark
451,Smallfoot,96.0,"Adventure,Animation,Comedy",6.7,23295,80000000,83240103,213691277,133691277,1.6711409625,Light
453,The Brass Teapot,101.0,"Comedy,Fantasy,Thriller",6.4,13746,900000,6997,413733,-486267,-0.5402966666666666,Dark
457,Dark Skies,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,3500000,17418667,27704111,24204111,6.9154602857142855,Dark
461,Lucy,89.0,"Action,Sci-Fi,Thriller",6.4,403194,40000000,126573960,457507776,417507776,10.4376944,Dark
464,Life,104.0,"Horror,Sci-Fi,Thriller",6.6,182840,75000000,64062587,73521587,-1478413,-0.019712173333333333,Dark
468,Incarnate,91.0,"Horror,Thriller",5.3,10217,5000000,4799774,9371036,4371036,0.8742072,Dark
471,Unforgettable,100.0,"Drama,Thriller",5.1,11489,18000000,2483790,2483790,-15516210,-0.8620116666666666,Dark
474,Glass,129.0,"Drama,Sci-Fi,Thriller",6.8,133793,20000000,111035005,245303505,225303505,11.26517525,Dark
476,Hereditary,127.0,"Drama,Horror,Mystery",7.3,151571,10000000,44069456,70133905,60133905,6.0133905,Dark
478,The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752,45000000,88625922,160971922,115971922,2.5771538222222223,Light
480,Zookeeper,102.0,"Comedy,Family,Romance",5.2,52396,80000000,80360866,170805525,90805525,1.1350690625,Light
481,Red Dawn,93.0,"Action,Sci-Fi,Thriller",5.4,69599,65000000,44806783,48164150,-16835850,-0.2590130769230769,Dark
487,Winnie the Pooh,63.0,"Adventure,Animation,Comedy",7.2,19605,30000000,26692846,50145607,20145607,0.6715202333333333,Light
488,Dream House,84.0,"Drama,Mystery,Thriller",6.0,59714,50000000,21302340,41642166,-8357834,-0.16715668,Dark
491,The Woman in Black,95.0,"Drama,Fantasy,Horror",6.4,165357,15000000,54333290,128955898,113955898,7.597059866666667,Dark
492,Contagion,106.0,"Action,Drama,Thriller",6.6,201536,60000000,75658097,137551594,77551594,1.2925265666666668,Dark
494,Skin Trade,96.0,"Action,Crime,Thriller",5.7,6942,9000000,1242,1242,-8998758,-0.999862,Dark
496,Safe Haven,115.0,"Drama,Romance,Thriller",6.7,97055,28000000,71399120,94050951,66050951,2.358962535714286,Dark
498,No Escape,103.0,"Action,Thriller",6.8,70222,5000000,27288872,42844516,37844516,7.5689032,Dark
499,While We're Young,97.0,"Comedy,Drama,Mystery",6.3,41327,10000000,7582065,17503828,7503828,0.7503828,Dark
502,Victor Frankenstein,110.0,"Drama,Horror,Sci-Fi",6.0,47492,40000000,5775076,31124367,-8875633,-0.221890825,Dark
510,Zipper,112.0,"Drama,Thriller",5.8,6120,4500000,0,0,-4500000,-1.0,Dark
511,Jack Reacher: Never Go Back,118.0,"Action,Thriller",6.1,121892,60000000,58697076,159946489,99946489,1.6657748166666666,Dark
512,The Veil,93.0,Horror,4.8,6895,4000000,0,0,-4000000,-1.0,Dark
520,The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,31727,13000000,217277,3617277,-9382723,-0.721747923076923,Dark
523,The Darkness,92.0,"Horror,Thriller",4.4,12435,4000000,10753574,10898293,6898293,1.72457325,Dark
525,Side Effects,106.0,"Crime,Drama,Mystery",7.1,168466,30000000,32172757,66742138,36742138,1.2247379333333333,Dark
529,Kung Fu Panda 3,95.0,"Action,Adventure,Animation",7.1,116166,140000000,143528619,517599142,377599142,2.6971367285714285,Light
530,The SpongeBob Movie: Sponge Out of Water,92.0,"Adventure,Animation,Comedy",6.0,43560,74000000,162994032,311013181,237013181,3.2028808243243243,Light
531,Sherlock Gnomes,86.0,"Adventure,Animation,Comedy",5.1,8030,59000000,43242871,87527651,28527651,0.48351950847457625,Light
535,Red Sparrow,140.0,"Action,Drama,Thriller",6.6,136738,69000000,46874505,145951861,76951861,1.1152443623188406,Dark
539,Regression,106.0,"Crime,Horror,Mystery",5.7,33335,20000000,55039,15824374,-4175626,-0.2087813,Dark
540,Housebound,107.0,"Comedy,Horror,Mystery",6.8,29757,1500000,0,236863,-1263137,-0.8420913333333333,Dark
541,Cargo,105.0,"Drama,Horror,Sci-Fi",6.3,27339,4200000,0,313230,-3886770,-0.9254214285714286,Dark
543,Ravenous,104.0,"Drama,Horror,Sci-Fi",5.9,5970,12000000,2062406,2062406,-9937594,-0.8281328333333333,Dark
547,Snowden,134.0,"Biography,Drama,Thriller",7.3,119149,50000000,21587519,35380918,-14619082,-0.29238164,Dark
548,Evolution,81.0,"Drama,Mystery,Sci-Fi",6.0,5266,80000000,38311134,98341932,18341932,0.22927415,Dark
549,Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family",5.6,11459,35000000,46697321,93291478,58291478,1.6654708,Light
550,The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,6000000,14836174,42785387,36785387,6.130897833333333,Dark
552,The Mechanic,93.0,"Action,Crime,Thriller",6.6,141254,42500000,29121498,76347393,33847393,0.7964092470588235,Dark
556,Trapped,105.0,"Action,Drama,Thriller",7.6,7683,30000000,6916869,6916869,-23083131,-0.7694377,Dark
559,Green Zone,115.0,"Action,Drama,Thriller",6.8,122132,100000000,35497337,97523020,-2476980,-0.0247698,Dark
565,The Reef,94.0,"Adventure,Drama,Horror",5.8,15194,10000000,0,15037867,5037867,0.5037867,Dark
566,Tinker Tailor Soldier Spy,122.0,"Drama,Mystery,Thriller",7.1,174890,21000000,24149393,81452811,60452811,2.8787052857142856,Dark
567,Cloud Atlas,172.0,"Action,Drama,Mystery",7.4,326473,102000000,27108272,130673154,28673154,0.28110935294117645,Dark
569,"I, Frankenstein",92.0,"Action,Fantasy,Horror",5.1,74910,65000000,19075290,74575290,9575290,0.14731215384615384,Dark
570,Monsters University,104.0,"Adventure,Animation,Comedy",7.3,291887,200000000,268488329,743588329,543588329,2.717941645,Light
571,The Greatest Showman,105.0,"Biography,Drama,Musical",7.6,199663,84000000,174340174,386665550,302665550,3.6031613095238093,Light
572,Red Riding Hood,100.0,"Fantasy,Horror,Mystery",5.5,102369,42000000,37662162,91678442,49678442,1.1828200476190476,Dark
573,The Vatican Tapes,91.0,"Horror,Thriller",5.0,14822,13000000,1784763,14929184,1929184,0.14839876923076922,Dark
574,Absentia,87.0,"Drama,Horror,Mystery",5.8,15507,70000,0,8555,-61445,-0.8777857142857143,Dark
576,Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200,4750000,1728953,4972016,222016,0.04674021052631579,Dark
579,Secret in Their Eyes,111.0,"Crime,Drama,Mystery",6.3,37455,20000000,20180155,32608019,12608019,0.63040095,Dark
582,Velvet Buzzsaw,113.0,"Horror,Mystery,Thriller",5.7,40213,21000000,0,0,-21000000,-1.0,Dark
586,The Good Dinosaur,93.0,"Adventure,Animation,Comedy",6.7,91465,187500000,123087120,333771037,146271037,0.7801121973333334,Light
588,Mama,100.0,"Horror,Thriller",6.2,158487,15000000,71628180,148095566,133095566,8.873037733333334,Dark
590,Inside Out,95.0,"Adventure,Animation,Comedy",8.2,536181,175000000,356461711,854235992,679235992,3.881348525714286,Light
591,Maniac,89.0,"Horror,Thriller",6.1,32534,350000,10000000,10000000,9650000,27.571428571428573,Dark
