movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Lost City of Z,141.0,"Adventure,Biography,Drama",6.6,66475,30000000,8574339,17121823,-12878177,-0.4292725666666667
Frozen,93.0,"Adventure,Drama,Sport",6.2,62311,150000000,400738009,1272469910,1122469910,7.483132733333333
Frozen,102.0,"Adventure,Animation,Comedy",7.5,516998,150000000,400738009,1272469910,1122469910,7.483132733333333
The Pirates! Band of Misfits,88.0,"Adventure,Animation,Comedy",6.7,41958,55000000,31051126,136143605,81143605,1.4753382727272728
Max Steel,92.0,"Action,Adventure,Family",4.6,16788,10000000,3818664,4563080,-5436920,-0.543692
Wrath of the Titans,99.0,"Action,Adventure,Fantasy",5.7,172330,150000000,83670083,305270083,155270083,1.0351338866666666
Ice Age: Continental Drift,88.0,"Adventure,Animation,Comedy",6.6,175601,95000000,161321843,879765137,784765137,8.26068565263158
Divergent,139.0,"Action,Adventure,Mystery",6.7,399703,85000000,150947895,276014965,191014965,2.247234882352941
Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,170000000,113883318,345004422,175004422,1.0294377764705882
The Space Between Us,120.0,"Adventure,Drama,Romance",6.4,41031,30000000,7885294,16481405,-13518595,-0.45061983333333333
Smallfoot,96.0,"Adventure,Animation,Comedy",6.7,23295,80000000,83240103,213691277,133691277,1.6711409625
Inferno,121.0,"Action,Adventure,Crime",6.2,138978,75000000,34343574,219519367,144519367,1.9269248933333334
The Night Before,101.0,"Adventure,Comedy,Fantasy",6.4,58455,25000000,43035725,52427346,27427346,1.09709384
The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752,45000000,88625922,160971922,115971922,2.5771538222222223
X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,160000000,146408305,355408305,195408305,1.22130190625
Winnie the Pooh,63.0,"Adventure,Animation,Comedy",7.2,19605,30000000,26692846,50145607,20145607,0.6715202333333333
Man on a Ledge,102.0,"Action,Adventure,Crime",6.6,137507,42000000,18620000,49621440,7621440,0.18146285714285715
The Dark Tower,95.0,"Action,Adventure,Fantasy",5.7,107518,60000000,50701325,113461527,53461527,0.89102545
Snow White and the Huntsman,127.0,"Action,Adventure,Drama",6.1,258938,170000000,155136755,401021746,231021746,1.3589514470588235
Queen of the Desert,128.0,"Adventure,Biography,Drama",5.7,8529,36000000,0,1578543,-34421457,-0.9561515833333334
Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,"Action,Adventure,Comedy",6.0,77234,135000000,82051601,245328374,110328374,0.8172472148148148
Red Tails,125.0,"Action,Adventure,Drama",5.9,31815,58000000,49876377,50365498,-7634502,-0.1316293448275862
Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,170000000,259746958,714401889,544401889,3.2023640529411765
Rampage,107.0,"Action,Adventure,Sci-Fi",6.1,115891,120000000,101028233,428056280,308056280,2.5671356666666667
Kung Fu Panda 3,95.0,"Action,Adventure,Animation",7.1,116166,140000000,143528619,517599142,377599142,2.6971367285714285
The SpongeBob Movie: Sponge Out of Water,92.0,"Adventure,Animation,Comedy",6.0,43560,74000000,162994032,311013181,237013181,3.2028808243243243
Sherlock Gnomes,86.0,"Adventure,Animation,Comedy",5.1,8030,59000000,43242871,87527651,28527651,0.48351950847457625
Hardcore Henry,96.0,"Action,Adventure,Sci-Fi",6.7,78226,2000000,9252038,17187434,15187434,7.593717
Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family",5.6,11459,35000000,46697321,93291478,58291478,1.6654708
Adrift,96.0,"Action,Adventure,Biography",6.6,34115,35000000,31445011,57897191,22897191,0.6542054571428572
Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,165000000,188017894,666379375,501379375,3.038662878787879
Holmes & Watson,90.0,"Adventure,Comedy,Crime",3.8,17661,42000000,30568743,41926605,-73395,-0.0017475
Iron Man 3,130.0,"Action,Adventure,Sci-Fi",7.2,692794,200000000,408992272,1215392272,1015392272,5.07696136
The Reef,94.0,"Adventure,Drama,Horror",5.8,15194,10000000,0,15037867,5037867,0.5037867
Monsters University,104.0,"Adventure,Animation,Comedy",7.3,291887,200000000,268488329,743588329,543588329,2.717941645
The Good Dinosaur,93.0,"Adventure,Animation,Comedy",6.7,91465,187500000,123087120,333771037,146271037,0.7801121973333334
Guardians of the Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,170000000,333172112,770867516,600867516,3.5345148
Inside Out,95.0,"Adventure,Animation,Comedy",8.2,536181,175000000,356461711,854235992,679235992,3.881348525714286
Into the Woods,125.0,"Adventure,Comedy,Drama",6.0,123577,56200000,128002372,213116401,156916401,2.7921067793594307
Alice Through the Looking Glass,113.0,"Adventure,Family,Fantasy",6.2,79951,170000000,77042381,276928112,106928112,0.628988894117647
Skyscraper,102.0,"Action,Adventure,Thriller",5.8,81193,125000000,68420120,304115534,179115534,1.432924272
"Paul, Apostle of Christ",108.0,"Adventure,Biography,Drama",6.7,5662,5000000,17547999,25529498,20529498,4.1058996
Suicide Squad,123.0,"Action,Adventure,Fantasy",6.0,533039,175000000,325100054,746059887,571059887,3.2631993542857143
Journey 2: The Mysterious Island,94.0,"Action,Adventure,Comedy",5.8,83507,79000000,103860290,318146162,239146162,3.027166607594937
Battleship,131.0,"Action,Adventure,Sci-Fi",5.8,225342,220000000,65233400,313477717,93477717,0.4248987136363636
Safe House,115.0,"Action,Adventure,Crime",6.8,192655,85000000,126181630,208542162,123542162,1.4534372
A Wrinkle in Time,109.0,"Adventure,Family,Fantasy",4.2,34888,103000000,100478608,133401882,30401882,0.29516390291262135
Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,165000000,189412677,496511521,331511521,2.0091607333333332
The Amazing Spider-Man 2,142.0,"Action,Adventure,Sci-Fi",6.6,388363,200000000,202853933,708996336,508996336,2.54498168
The Darkest Minds,104.0,"Action,Adventure,Drama",5.7,21340,34000000,12695691,38361428,4361428,0.12827729411764707
Early Man,89.0,"Adventure,Animation,Comedy",6.1,15882,50000000,8267544,45285890,-4714110,-0.0942822
On the Road,124.0,"Adventure,Drama,Romance",6.1,37886,25000000,720828,9313302,-15686698,-0.62746792
The Hunger Games: Mockingjay - Part 2,137.0,"Action,Adventure,Sci-Fi",6.6,252384,160000000,281723902,648986787,488986787,3.05616741875
Father Figures,113.0,"Adventure,Comedy,Drama",5.5,14373,25000000,17501244,21038441,-3961559,-0.15846236
Vice,96.0,"Action,Adventure,Sci-Fi",4.2,14436,60000000,47836282,70883171,10883171,0.18138618333333334
