,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
797,Beauty and the Beast,129.0,"Family,Fantasy,Musical",7.2,238325,160000000,504014165,1259199706,1099199706,6.8699981625,Light
804,Thunder and the House of Magic,85.0,"Adventure,Animation,Comedy",6.3,5626,34000000,4091,62582520,28582520,0.8406623529411764,Light
807,Bilal: A New Breed of Hero,105.0,"Action,Adventure,Animation",8.0,16854,30000000,490973,648599,-29351401,-0.9783800333333333,Light
828,Maleficent,97.0,"Action,Adventure,Family",7.0,305832,180000000,241407328,758536735,578536735,3.2140929722222222,Light
830,Oz the Great and Powerful,130.0,"Adventure,Family,Fantasy",6.3,192045,200000000,234770996,490359051,290359051,1.451795255,Light
845,Rio 2,101.0,"Adventure,Animation,Comedy",6.3,72209,130000000,131538435,492846291,362846291,2.7911253153846154,Light
847,Alvin and the Chipmunks: The Road Chip,92.0,"Adventure,Animation,Comedy",5.1,14507,90000000,85886987,249517956,159517956,1.7724217333333334,Light
850,Moana,107.0,"Adventure,Animation,Comedy",7.6,224253,150000000,248757044,637517365,487517365,3.2501157666666667,Light
858,The Smurfs 2,105.0,"Adventure,Animation,Comedy",5.4,34229,110000000,71017784,348547523,238547523,2.1686138454545456,Light
860,Earth to Echo,91.0,"Adventure,Family,Sci-Fi",5.8,17627,13000000,38934842,42174545,29174545,2.2441957692307692,Light
870,Burlesque,119.0,"Drama,Music,Musical",6.4,71021,55000000,39440655,90552675,35552675,0.6464122727272728,Light
895,Minions,91.0,"Adventure,Animation,Comedy",6.4,193917,74000000,336045770,1160336173,1086336173,14.680218554054054,Light
906,A Monster Calls,108.0,"Animation,Drama,Fantasy",7.5,70416,43000000,3740823,46414530,3414530,0.07940767441860465,Light
926,The Lego Ninjago Movie,101.0,"Action,Adventure,Animation",6.0,18926,70000000,59281555,122737201,52737201,0.7533885857142857,Light
934,Dragon Ball Super: Broly,100.0,"Action,Adventure,Animation",8.0,16465,8500000,30376755,122747755,114247755,13.440912352941176,Light
954,Max,111.0,"Adventure,Drama,Family",6.8,23976,20000000,42656255,43658157,23658157,1.18290785,Light
960,Home,94.0,"Adventure,Animation,Comedy",6.6,85831,130000000,177397510,385997896,255997896,1.9692145846153846,Light
973,Sing,108.0,"Animation,Comedy,Family",7.1,115951,75000000,270329045,634454789,559454789,7.459397186666667,Light
981,The Nutcracker and the Four Realms,99.0,"Adventure,Family,Fantasy",5.5,18734,132900000,54858851,170293899,37393899,0.281368690744921,Light
983,The Boxtrolls,96.0,"Adventure,Animation,Comedy",6.8,50763,60000000,50837305,111946251,51946251,0.86577085,Light
984,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277,145000000,111506430,269806430,124806430,0.860734,Light
998,Monte Carlo,109.0,"Adventure,Comedy,Family",5.8,38731,20000000,23186769,39686769,19686769,0.98433845,Light
1000,Rango,107.0,"Adventure,Animation,Comedy",7.2,215761,135000000,123477607,245724600,110724600,0.8201822222222223,Light
1009,Cinderella,105.0,"Drama,Family,Fantasy",6.9,142792,95000000,201151353,534551353,439551353,4.626856347368421,Light
1013,The Little Prince,108.0,"Adventure,Animation,Drama",7.7,50015,77500000,1311213,102028919,24528919,0.3165021806451613,Light
1015,Incredibles 2,118.0,"Action,Adventure,Animation",7.7,203510,200000000,608581744,1242520711,1042520711,5.212603555,Light
1046,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,200000000,415004880,1068879522,868879522,4.34439761,Light
1055,When the Game Stands Tall,115.0,"Drama,Family,Sport",6.7,14498,15000000,30127963,30138912,15138912,1.0092608,Light
1067,The Secret Life of Pets,87.0,"Adventure,Animation,Comedy",6.5,161997,75000000,368384330,886750534,811750534,10.823340453333333,Light
1069,Jem and the Holograms,118.0,"Adventure,Drama,Family",4.1,6683,5000000,2184640,2368937,-2631063,-0.5262126,Light
1077,Marmaduke,87.0,"Comedy,Family",4.2,13283,50000000,33644788,89895930,39895930,0.7979186,Light
1086,Dolphin Tale,113.0,"Drama,Family",6.9,20746,37000000,72286779,96068724,59068724,1.596452,Light
1089,Diary of a Wimpy Kid: Rodrick Rules,99.0,"Comedy,Family",6.6,23135,18000000,52698535,73695194,55695194,3.0941774444444445,Light
1119,Rio,96.0,"Adventure,Animation,Comedy",6.9,191621,90000000,143619809,487519809,397519809,4.416886766666667,Light
1134,Turbo,96.0,"Adventure,Animation,Comedy",6.4,74639,135000000,83028130,286896578,151896578,1.125159837037037,Light
1140,Smurfs: The Lost Village,90.0,"Adventure,Animation,Comedy",6.0,15612,60000000,45020282,197578586,137578586,2.292976433333333,Light
1142,Hotel Transylvania 2,89.0,"Animation,Comedy,Family",6.7,92905,80000000,169700110,469500298,389500298,4.868753725,Light
1154,Big Miracle,107.0,"Biography,Drama,Family",6.5,17585,40000000,20157300,25268680,-14731320,-0.368283,Light
1159,ParaNorman,92.0,"Adventure,Animation,Comedy",7.0,87250,60000000,56003051,108119662,48119662,0.8019943666666667,Light
1160,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,145000000,177002924,614586270,469586270,3.238526,Light
1168,Mary Poppins Returns,130.0,"Comedy,Family,Fantasy",6.9,52103,130000000,171958438,341528518,211528518,1.6271424461538462,Light
1188,The Lego Batman Movie,104.0,"Action,Animation,Comedy",7.3,116433,80000000,175750384,310660018,230660018,2.883250225,Light
1196,Foodfight!,91.0,"Action,Animation,Comedy",1.9,8248,45000000,0,73706,-44926294,-0.9983620888888889,Light
1200,Penguins of Madagascar,92.0,"Adventure,Animation,Comedy",6.7,72551,132000000,83350911,366942531,234942531,1.779867659090909,Light
1213,Fantastic Beasts and Where to Find Them,132.0,"Adventure,Family,Fantasy",7.3,365353,180000000,234037575,802402853,622402853,3.457793627777778,Light
1215,Pan,111.0,"Adventure,Comedy,Family",5.8,55867,150000000,35088320,151525973,1525973,0.010173153333333334,Light
1220,The Adventures of Tintin,107.0,"Action,Adventure,Animation",7.3,202430,130000000,77591831,373993951,243993951,1.8768765461538461,Light
1228,Arthur Christmas,97.0,"Adventure,Animation,Comedy",7.1,45439,85000000,46462469,149717124,64717124,0.7613779294117647,Light
1230,Rise of the Guardians,97.0,"Action,Adventure,Animation",7.3,145281,145000000,103412758,306900902,161900902,1.1165579448275862,Light
1238,Annie,118.0,"Comedy,Drama,Family",5.3,31241,65000000,85911262,139829625,74829625,1.151225,Light
1248,Diary of a Wimpy Kid: The Long Haul,91.0,"Comedy,Family",4.4,5635,22000000,20738724,35609577,13609577,0.6186171363636364,Light
1255,Kung Fu Panda 2,90.0,"Action,Adventure,Animation",7.2,228465,150000000,165249063,664837547,514837547,3.4322503133333333,Light
1268,Despicable Me 2,98.0,"Adventure,Animation,Comedy",7.4,344230,76000000,368065385,975216835,899216835,11.831800460526315,Light
1290,Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,37939,48000000,60022256,112610386,64610386,1.3460497083333334,Light
1302,The Jungle Book,106.0,"Adventure,Drama,Family",7.4,240821,175000000,364001123,962854547,787854547,4.502025982857143,Light
1319,Madagascar 3: Europe's Most Wanted,93.0,"Adventure,Animation,Comedy",6.8,146858,145000000,216391482,746921271,601921271,4.151181179310345,Light
1333,Sausage Party,89.0,"Adventure,Animation,Comedy",6.2,159111,19000000,97670358,141344255,122344255,6.439171315789474,Light
1340,Alpha,96.0,"Adventure,Drama,Family",6.7,41882,51000000,35851379,99624873,48624873,0.9534288823529412,Light
