movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Crimson Peak,119.0,"Drama,Fantasy,Horror",6.5,119287,55000000,31090320,74966854,19966854,0.3630337090909091
Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836,120000000,124987022,620912003,500912003,4.174266691666666
Evil Dead,91.0,"Fantasy,Horror,Thriller",6.5,146399,17000000,54239856,97778356,80778356,4.751668
Aquaman,143.0,"Action,Adventure,Fantasy",7.1,263328,160000000,335061807,1146894640,986894640,6.1680915
Pirates of the Caribbean: Dead Men Tell No Tales,129.0,"Action,Adventure,Fantasy",6.6,228592,230000000,172558876,788241137,558241137,2.4271353782608696
The Bye Bye Man,96.0,"Drama,Fantasy,Horror",4.3,17743,7400000,22395806,31187727,23787727,3.214557702702703
Mary Poppins Returns,130.0,"Comedy,Family,Fantasy",6.9,52103,130000000,171958438,341528518,211528518,1.6271424461538462
Doctor Strange,115.0,"Action,Adventure,Fantasy",7.5,514510,165000000,232641920,676404566,511404566,3.099421612121212
Bright,117.0,"Action,Crime,Fantasy",6.4,147834,90000000,0,0,-90000000,-1.0
About Time,123.0,"Comedy,Drama,Fantasy",7.8,263136,12000000,15323921,89309178,77309178,6.4424315
Hellboy,120.0,"Action,Adventure,Fantasy",5.4,19534,60000000,59623958,99823958,39823958,0.6637326333333333
Fantastic Beasts and Where to Find Them,132.0,"Adventure,Family,Fantasy",7.3,365353,180000000,234037575,802402853,622402853,3.457793627777778
Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818,150000000,79727149,238202668,88202668,0.5880177866666667
Let Me In,116.0,"Drama,Fantasy,Horror",7.1,107012,20000000,12134935,28270399,8270399,0.41351995
The Age of Adaline,112.0,"Drama,Fantasy,Romance",7.2,138924,30000000,42629776,68984536,38984536,1.2994845333333334
Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,37939,48000000,60022256,112610386,64610386,1.3460497083333334
The Future,91.0,"Drama,Fantasy,Romance",6.2,7648,1000000,568662,1239174,239174,0.239174
Holy Motors,115.0,"Drama,Fantasy",7.1,36874,4000000,641054,4230426,230426,0.0576065
A Haunted House,86.0,"Comedy,Fantasy",5.1,40308,2500000,40041683,59922558,57422558,22.9690232
The Hobbit: The Battle of the Five Armies,144.0,"Adventure,Fantasy",7.4,438621,250000000,255119788,945577621,695577621,2.782310484
Your Highness,102.0,"Adventure,Comedy,Fantasy",5.5,92940,50000000,21596445,26121638,-23878362,-0.47756724
Ghostbusters,116.0,"Action,Comedy,Fantasy",5.2,186788,144000000,128350574,229008658,85008658,0.5903379027777778
Charlie St. Cloud,99.0,"Drama,Fantasy,Romance",6.5,55016,44000000,31206263,48478084,4478084,0.10177463636363636
Sorry to Bother You,111.0,"Comedy,Fantasy,Sci-Fi",7.0,40290,3200000,17493096,18285560,15085560,4.7142375
The Great Wall,103.0,"Action,Adventure,Fantasy",6.0,111602,150000000,45157105,334486852,184486852,1.2299123466666666
Escape from Tomorrow,90.0,"Drama,Fantasy,Horror",5.2,8665,650000,171962,171962,-478038,-0.735443076923077
Ted,106.0,"Comedy,Fantasy",6.9,538367,50000000,218665740,556016627,506016627,10.12033254
The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,129663,155000000,104386950,418186950,263186950,1.6979803225806451
Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,37360,20000000,2483472,7034615,-12965385,-0.64826925
Beasts of the Southern Wild,93.0,"Adventure,Drama,Fantasy",7.3,77440,1800000,12795746,23265132,21465132,11.925073333333334
