id_x,movie,production_budget,domestic_gross,worldwide_gross,total_gross,net_revenue,original_language,popularity,release_date_y,vote_average,vote_count,start_year,runtime_minutes,genres,imdb_averagerating,imdb_numvotes
28,Dragonfly,60000000,30063805,30063805,60127610,127610,en,0.664,2016-04-10,3.0,2,2015,80.0,"Crime,Drama,Thriller",6.3,40
29,Priest,60000000,29136626,84154026,113290652,53290652,en,15.318,2011-05-13,5.5,1157,2011,87.0,"Action,Adventure,Fantasy",5.7,108320
47,Rock Dog,60000000,9420546,24148488,33569034,-26430966,en,10.362,2017-02-24,5.7,123,2016,90.0,"Adventure,Animation,Comedy",5.9,3991
48,Mortdecai,60000000,7696134,30396134,38092268,-21907732,en,13.263,2015-01-23,5.4,1666,2015,107.0,"Action,Comedy,Crime",5.5,61366
52,The Ridiculous 6,60000000,0,0,0,-60000000,en,10.187,2015-12-11,5.0,676,2015,119.0,"Comedy,Western",4.8,38694
54,Sherlock Gnomes,59000000,43242871,87527651,130770522,71770522,en,12.987,2018-03-23,5.4,343,2018,86.0,"Adventure,Animation,Comedy",5.1,8030
56,Deadpool,58000000,363070709,801025593,1164096302,1106096302,en,35.067,2016-02-12,7.6,20175,2016,108.0,"Action,Adventure,Comedy",8.0,820847
57,American Sniper,58000000,350126372,547326372,897452744,839452744,en,18.473,2014-12-25,7.4,7658,2014,133.0,"Action,Biography,Drama",7.3,401915
58,Goosebumps,58000000,80069458,158905324,238974782,180974782,en,18.957,2015-10-16,6.2,2147,2015,103.0,"Adventure,Comedy,Family",6.3,72858
61,Red Tails,58000000,49876377,50365498,100241875,42241875,en,10.247,2012-01-11,6.0,256,2012,125.0,"Action,Adventure,Drama",5.9,31815
63,The Internship,58000000,44672764,93672764,138345528,80345528,en,0.6,2013-06-07,6.2,2631,2013,119.0,Comedy,6.3,179817
70,Resident Evil: Afterlife,57500000,60128566,295874190,356002756,298502756,en,0.667,2010-09-10,5.9,2119,2010,96.0,"Action,Adventure,Horror",5.9,153270
71,That's My Boy,57500000,36931089,58085235,95016324,37516324,en,12.817,2012-06-15,5.5,831,2012,116.0,Comedy,5.6,83009
73,Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355,200991357,143991357,en,18.678,2011-12-10,4.8,2039,2011,96.0,"Action,Fantasy,Thriller",4.3,103608
77,Into the Woods,56200000,128002372,213116401,341118773,284918773,en,13.726,2014-12-25,5.7,2880,2014,125.0,"Adventure,Comedy,Drama",6.0,123577
84,Bohemian Rhapsody,55000000,216303339,894985342,1111288681,1056288681,en,37.197,2018-11-02,8.1,7629,2018,134.0,"Biography,Drama,Music",8.0,345466
91,Fifty Shades Darker,55000000,114434010,381398492,495832502,440832502,en,12.083,2017-02-10,6.1,4489,2017,118.0,"Drama,Romance",4.6,81706
92,Captain Phillips,55000000,107136417,220648184,327784601,272784601,en,15.483,2013-10-11,7.6,3909,2013,134.0,"Biography,Drama,Thriller",7.8,387402
95,Murder on the Orient Express,55000000,102826543,345922730,448749273,393749273,en,15.937,2017-11-10,6.7,5406,2017,114.0,"Crime,Drama,Mystery",6.5,178603
96,The Equalizer,55000000,101530738,192903624,294434362,239434362,en,28.942,2014-09-26,7.2,4989,2014,132.0,"Action,Crime,Thriller",7.2,302302
97,Fifty Shades Freed,55000000,100407760,371350619,471758379,416758379,en,22.512,2018-02-09,6.1,3535,2018,105.0,"Drama,Romance,Thriller",4.5,43893
99,Date Night,55000000,98711404,152269033,250980437,195980437,en,12.498,2010-04-08,6.0,1743,2010,88.0,"Comedy,Crime,Romance",6.3,144683
